List,List_Date,Title,Author,Weeks_On_List,Rank_This_Week,Publisher,Primary_ISBN_10,Primary_ISBN_13,Description
Combined Print and E-Book Nonfiction,2020-09-20,I HAVE SOMETHING TO TELL YOU,Chasten Buttigieg,1,13,Atria,1982138122,9781982138127,"The educator and advocate describes growing up gay in a small Midwestern town and meeting his husband, Pete."
Combined Print and E-Book Nonfiction,2020-06-07,THE CHIFFON TRENCHES,André Leon Talley,1,6,Ballantine,0593129253,9780593129258,A memoir by the former creative director at Vogue and a look at the changes in the fashion industry.
Combined Print and E-Book Nonfiction,2020-02-23,THE BIG GOODBYE,Sam Wasson,1,13,Flatiron,1250301823,9781250301826,"The making of the film ""Chinatown"" and shifts in Hollywood during the 1970s."
Combined Print and E-Book Nonfiction,2020-02-09,THE AGE OF ENTITLEMENT,Christopher Caldwell,1,10,Simon & Schuster,1501106899,9781501106897,"An assessment of some potential social, cultural and economic causes of our current political fissure."
Combined Print and E-Book Nonfiction,2020-01-26,SUCCESSFUL AGING,Daniel J Levitin,1,12,Dutton,1524744182,9781524744182,A neuroscientist suggests using resilience strategies as we grow older.
Combined Print and E-Book Nonfiction,2020-09-27,SPEAKING FOR MYSELF,Sarah Huckabee Sanders,1,8,St. Martin's,1250271339,9781250271334,The former White House press secretary shares her perspective on her time working with President Trump
Combined Print and E-Book Nonfiction,2020-07-26,SEPARATED,Jacob Soboroff,1,10,Custom House,0062992198,9780062992192,The NBC News correspondent examines the Trump administration’s systematic separation of migrant families at the U.S.-Mexico border and the living conditions of the children in custody.
Combined Print and E-Book Nonfiction,2020-04-19,"WOW, NO THANK YOU",Samantha Ir,1,7,Vintage,0525563482,9780525563488,Comedic essays by an author and blogger who splits her time between Hollywood meetings and living in a liberal suburban town in a red state.
Combined Print and E-Book Nonfiction,2020-08-23,MAKE CHANGE,Shaun King,1,6,Houghton Mifflin Harcourt,0358048001,9780358048008,A look at how social movements evolve and ways in which activists can sustain their efforts.
Combined Print and E-Book Nonfiction,2020-09-06,LIVE IN LOVE,Lauren Akins with Mark Dagostino,1,8,Ballantine,0593129040,9780593129043,The wife of the country music singer Thomas Rhett describes her mission work and life in the spotlight.
Combined Print and E-Book Nonfiction,2020-04-12,LADY IN WAITING,Anne Glenconner,1,4,Hachette,0306846365,9780306846366,A memoir that provides a look into the royal family by a lady-in-waiting to Princess Margaret.
Combined Print and E-Book Nonfiction,2020-09-27,KILLING CRAZY HORSE,Bill O'Reilly and Martin Dugard,1,2,Holt,1627797041,9781627797047,The ninth book in the conservative commentator’s Killing series focuses on conflicts with Native Americans.
Combined Print and E-Book Nonfiction,2020-08-16,INTIMATIONS,Zadie Smith,1,11,Penguin,059329761X,9780593297612,"Six essays exploring topics, such as isolation, compassion and the relationship between time and work, which were considered during an unprecedented situation."
Combined Print and E-Book Nonfiction,2020-05-24,INCOMPARABLE,Brie Bella and Nikki Bella,1,7,Gallery,1501191918,9781501191916,The identical twins and WWE Hall of Famers share some of the challenges they faced.
Combined Print and E-Book Nonfiction,2020-05-10,I'M YOUR HUCKLEBERRY,Val Kilmer,1,8,Simon & Schuster,1982144890,9781982144890,"The actor recalls his career highlights, romances and the toll cancer has taken on his voice."
Combined Print and E-Book Nonfiction,2020-08-02,A VERY PUNCHABLE FACE,Colin Jost,1,11,Crown,1101906324,9781101906323,"Snippets of the “Saturday Night Live” head writer’s life including growing up on Staten Island, performing in rural college cafeterias and competing in a WrestleMania match."
