List,List_Date,Title,Author,Weeks_On_List,Rank_This_Week,Publisher,Primary_ISBN_10,Primary_ISBN_13,Description
Combined Print and E-Book Fiction,2020-01-05,THE OVERSTORY,Richard Powers,6,13,Norton,039335668X,9780393356687,Winner of the 2019 Pulitzer Prize for fiction. Nine people drawn to trees for different reasons fight for the last of the remaining acres of virgin forest.
Combined Print and E-Book Fiction,2020-01-05,"OLIVE, AGAIN",Elizabeth Strout,8,14,Random House,0812996542,9780812996548,"In a follow-up to the Pulitzer Prize-winning novel “Olive Kitteridge,” new relationships, including a second marriage, are encountered in a seaside town in Maine."
Combined Print and E-Book Fiction,2020-01-05,THE WATER DANCER,Ta-Nehisi Coates,8,15,One World,0399590595,9780399590597,A young man who was gifted with a mysterious power becomes part of a war between slavers and the enslaved.
Combined Print and E-Book Fiction,2020-01-12,WHERE THE CRAWDADS SING,Delia Owens,68,1,Putnam,0735219095,9780735219090,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
Combined Print and E-Book Fiction,2020-01-12,THE GUARDIANS,John Grisham,11,2,Doubleday,0385544189,9780385544184,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case."
Combined Print and E-Book Fiction,2020-01-12,THE INSTITUTE,Stephen King,16,3,Scribner,1982110562,9781982110567,Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.
Combined Print and E-Book Fiction,2020-01-12,THE LAST WISH,Andrzej Sapkowski,1,4,Orbit,0316055085,9780316055086,"Linked stories follow the exploits of Geralt of Rivia, a monster-slaying mercenary."
Combined Print and E-Book Fiction,2020-01-12,THE NIGHT FIRE,Michael Connelly,7,5,"Little, Brown",None,9780316457484,Harry Bosch and Renée Ballard return to take up a case that held the attention of Bosch’s mentor.
Combined Print and E-Book Fiction,2020-01-12,CRISS CROSS,James Patterson,5,6,"Little, Brown",0316526886,9780316526883,The 27th book in the Alex Cross series. Copycat crimes make the detective question whether an innocent man was executed.
Combined Print and E-Book Fiction,2020-01-12,BLUE MOON,Lee Child,9,7,Delacorte,0399593543,9780399593543,Jack Reacher gets caught up in a turf war between Ukrainian and Albanian gangs.
Combined Print and E-Book Fiction,2020-01-12,A MINUTE TO MIDNIGHT,David Baldacci,6,8,Grand Central,1538761602,9781538761601,"When Atlee Pine returns to her hometown to investigate her sister’s kidnapping from 30 years ago, she winds up tracking a potential serial killer."
Combined Print and E-Book Fiction,2020-01-12,THE TESTAMENTS,Margaret Atwood,14,9,Nan A. Talese/Doubleday,0385543786,9780385543781,"In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay."
Combined Print and E-Book Fiction,2020-01-12,THE SILENT PATIENT,Alex Michaelides,15,10,Celadon,1250301696,9781250301697,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
Combined Print and E-Book Fiction,2020-01-12,THE DUTCH HOUSE,Ann Patchett,14,11,Harper,0062963678,9780062963673,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.
Combined Print and E-Book Fiction,2020-01-12,BLOOD OF ELVES,Andrzej Sapkowski,1,12,Orbit,0316073717,9780316073714,"The first book in the Witcher series. As war looms, Geralt of Rivia must protect the prophesied savior of the world."
Combined Print and E-Book Fiction,2020-01-12,THE TATTOOIST OF AUSCHWITZ,Heather Morris,61,13,Harper,0062797158,9780062797155,A concentration camp detainee tasked with permanently marking fellow prisoners falls in love with one of them.
Combined Print and E-Book Fiction,2020-01-12,THE WATER DANCER,Ta-Nehisi Coates,9,14,One World,0399590595,9780399590597,A young man who was gifted with a mysterious power becomes part of a war between slavers and the enslaved.
Combined Print and E-Book Fiction,2020-01-12,THE GIVER OF STARS,Jojo Moyes,11,15,Pamela Dorman/Viking,0399562486,9780399562488,"In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books."
Combined Print and E-Book Fiction,2020-01-19,WHERE THE CRAWDADS SING,Delia Owens,69,1,Putnam,0735219095,9780735219090,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
Combined Print and E-Book Fiction,2020-01-19,THE GUARDIANS,John Grisham,12,2,Doubleday,None,9780385544191,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case."
Combined Print and E-Book Fiction,2020-01-19,THE LAST WISH,Andrzej Sapkowski,2,3,Orbit,0316055085,9780316055086,"Linked stories follow the exploits of Geralt of Rivia, a monster-slaying mercenary."
Combined Print and E-Book Fiction,2020-01-19,THE WIVES,Tarryn Fisher,1,4,Graydon House,1488054355,9781488054358,A woman discovers something disturbing about her polygamist husband.
Combined Print and E-Book Fiction,2020-01-19,SUCH A FUN AGE,Kiley Reid,1,5,Putnam,052554190X,9780525541905,Tumult ensues when Alix Chamberlain’s babysitter is mistakenly accused of kidnapping her charge.
Combined Print and E-Book Fiction,2020-01-19,THE SILENT PATIENT,Alex Michaelides,16,6,Celadon,1250301718,9781250301710,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
Combined Print and E-Book Fiction,2020-01-19,THE DUTCH HOUSE,Ann Patchett,15,7,Harper,0062963694,9780062963697,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.
Combined Print and E-Book Fiction,2020-01-19,DAISY JONES & THE SIX,Taylor Jenkins Reid,4,8,Ballantine,1524798630,9781524798635,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.
Combined Print and E-Book Fiction,2020-01-19,THE GIVER OF STARS,Jojo Moyes,12,9,Pamela Dorman/Viking,0399562508,9780399562501,"In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books."
Combined Print and E-Book Fiction,2020-01-19,A MINUTE TO MIDNIGHT,David Baldacci,7,10,Grand Central,None,9781538761625,"When Atlee Pine returns to her hometown to investigate her sister’s kidnapping from 30 years ago, she winds up tracking a potential serial killer."
Combined Print and E-Book Fiction,2020-01-19,CRISS CROSS,James Patterson,6,11,"Little, Brown",0316526886,9780316526883,The 27th book in the Alex Cross series. Copycat crimes make the detective question whether an innocent man was executed.
Combined Print and E-Book Fiction,2020-01-19,BLOOD OF ELVES,Andrzej Sapkowski,2,12,Orbit,0316073717,9780316073714,"The first book in the Witcher series. As war looms, Geralt of Rivia must protect the prophesied savior of the world."
Combined Print and E-Book Fiction,2020-01-19,BLUE MOON,Lee Child,10,13,Delacorte,None,9780399593550,Jack Reacher gets caught up in a turf war between Ukrainian and Albanian gangs.
Combined Print and E-Book Fiction,2020-01-19,THE TATTOOIST OF AUSCHWITZ,Heather Morris,62,14,Harper,0062797158,9780062797155,A concentration camp detainee tasked with permanently marking fellow prisoners falls in love with one of them.
Combined Print and E-Book Fiction,2020-01-19,BEFORE WE WERE YOURS,Lisa Wingate,52,15,Ballantine,0425284700,9780425284704,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.
Combined Print and E-Book Fiction,2020-01-26,WHERE THE CRAWDADS SING,Delia Owens,70,1,Putnam,0735219095,9780735219090,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
Combined Print and E-Book Fiction,2020-01-26,MORAL COMPASS,Danielle Steel,1,2,Delacorte,0399179542,9780399179549,"Shortly after Saint Ambrose Prep goes co-ed, a student is attacked and the community falls apart."
Combined Print and E-Book Fiction,2020-01-26,DEAR EDWARD,Ann Napolitano,1,3,Dial,198485478X,9781984854780,A 12-year-old boy tries to start over after becoming the sole survivor of a plane crash in which he lost his immediate family.
Combined Print and E-Book Fiction,2020-01-26,THE LAST WISH,Andrzej Sapkowski,3,4,Orbit,0316055085,9780316055086,"Linked stories follow the exploits of Geralt of Rivia, a monster-slaying mercenary."
Combined Print and E-Book Fiction,2020-01-26,TREASON,Stuart Woods,1,5,Putnam,0593083210,9780593083215,The 52nd book in the Stone Barrington series. Stone is asked to expose a double agent in the State Department.
Combined Print and E-Book Fiction,2020-01-26,THE VANISHING,Jayne Ann Krentz,1,6,Berkley,1984806459,9781984806451,A killer goes after a pair of Seattle investigators who witnessed a murder 15 years ago in the secretive town of Fogg Lake.
Combined Print and E-Book Fiction,2020-01-26,THE GUARDIANS,John Grisham,13,7,Doubleday,None,9780385544191,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case."
Combined Print and E-Book Fiction,2020-01-26,HUNTER KILLER,Brad Taylor,1,8,Morrow,0062886045,9780062886040,The 14th book in the Pike Logan series. Pike has a hunch Taskforce is being targeted.
Combined Print and E-Book Fiction,2020-01-26,SUCH A FUN AGE,Kiley Reid,2,9,Putnam,052554190X,9780525541905,Tumult ensues when Alix Chamberlain’s babysitter is mistakenly accused of kidnapping her charge.
Combined Print and E-Book Fiction,2020-01-26,LONG BRIGHT RIVER,Liz Moore,1,10,Riverhead,0525540679,9780525540670,Mickey risks her job with the Philadelphia police force by going after a murderer and searching for her missing sister.
Combined Print and E-Book Fiction,2020-01-26,THE SILENT PATIENT,Alex Michaelides,17,11,Celadon,1250301718,9781250301710,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
Combined Print and E-Book Fiction,2020-01-26,THE DUTCH HOUSE,Ann Patchett,16,12,Harper,0062963694,9780062963697,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.
Combined Print and E-Book Fiction,2020-01-26,THE GIVER OF STARS,Jojo Moyes,13,13,Pamela Dorman/Viking,0399562508,9780399562501,"In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books."
Combined Print and E-Book Fiction,2020-01-26,THE COUNTRY GUESTHOUSE,Ron Carr,1,14,Mira,None,9781488052293,The fifth book in the Sullivan's Crossing series.
Combined Print and E-Book Fiction,2020-01-26,THE WIVES,Tarryn Fisher,2,15,Graydon House,1488054355,9781488054358,A woman discovers something disturbing about her polygamist husband.
Combined Print and E-Book Fiction,2020-02-02,WHERE THE CRAWDADS SING,Delia Owens,71,1,Putnam,0735219095,9780735219090,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
Combined Print and E-Book Fiction,2020-02-02,LOST,James Patterson and James O Born,1,2,"Little, Brown",0316493988,9780316493987,The new head of an F.B.I. task force takes on a crime syndicate run by a pair of Russian nationals.
Combined Print and E-Book Fiction,2020-02-02,THE LAST WISH,Andrzej Sapkowski,4,3,Orbit,0316055085,9780316055086,"Linked stories follow the exploits of Geralt of Rivia, a monster-slaying mercenary."
Combined Print and E-Book Fiction,2020-02-02,THE GUARDIANS,John Grisham,14,4,Doubleday,None,9780385544191,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case."
Combined Print and E-Book Fiction,2020-02-02,THE SILENT PATIENT,Alex Michaelides,18,5,Celadon,1250301718,9781250301710,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
Combined Print and E-Book Fiction,2020-02-02,THE DUTCH HOUSE,Ann Patchett,17,6,Harper,0062963694,9780062963697,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.
Combined Print and E-Book Fiction,2020-02-02,DEAR EDWARD,Ann Napolitano,2,7,Dial,1984854798,9781984854797,A 12-year-old boy tries to start over after becoming the sole survivor of a plane crash in which he lost his immediate family.
Combined Print and E-Book Fiction,2020-02-02,SUCH A FUN AGE,Kiley Reid,3,8,Putnam,052554190X,9780525541905,Tumult ensues when Alix Chamberlain’s babysitter is mistakenly accused of kidnapping her charge.
Combined Print and E-Book Fiction,2020-02-02,THE GIVER OF STARS,Jojo Moyes,14,9,Pamela Dorman/Viking,0399562508,9780399562501,"In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books."
Combined Print and E-Book Fiction,2020-02-02,THE OUTSIDER,Stephen King,14,10,Scribner,1501181017,9781501181016,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.
Combined Print and E-Book Fiction,2020-02-02,MORAL COMPASS,Danielle Steel,2,11,Delacorte,0399179534,9780399179532,"Shortly after Saint Ambrose Prep goes co-ed, a student is attacked and the community falls apart."
Combined Print and E-Book Fiction,2020-02-02,LITTLE FIRES EVERYWHERE,Celeste Ng,49,12,Penguin Press,0735224315,9780735224315,An artist upends a quiet town outside Cleveland.
Combined Print and E-Book Fiction,2020-02-02,BEFORE WE WERE YOURS,Lisa Wingate,53,13,Ballantine,0425284700,9780425284704,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.
Combined Print and E-Book Fiction,2020-02-02,LONG BRIGHT RIVER,Liz Moore,2,14,Riverhead,None,9780525540694,Mickey risks her job with the Philadelphia police force by going after a murderer and searching for her missing sister.
Combined Print and E-Book Fiction,2020-02-02,THE WIVES,Tarryn Fisher,3,15,Graydon House,1488054355,9781488054358,A woman discovers something disturbing about her polygamist husband.
Combined Print and E-Book Fiction,2020-02-09,AMERICAN DIRT,Jeanine Cummins,1,1,Flatiron,1250209765,9781250209764,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.
Combined Print and E-Book Fiction,2020-02-09,WHERE THE CRAWDADS SING,Delia Owens,72,2,Putnam,0735219095,9780735219090,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
Combined Print and E-Book Fiction,2020-02-09,LOST,James Patterson and James O Born,2,3,"Little, Brown",0316420328,9780316420327,The new head of an F.B.I. task force takes on a crime syndicate run by a pair of Russian nationals.
Combined Print and E-Book Fiction,2020-02-09,THE SILENT PATIENT,Alex Michaelides,19,4,Celadon,1250301718,9781250301710,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
Combined Print and E-Book Fiction,2020-02-09,THE GUARDIANS,John Grisham,15,5,Doubleday,0385544189,9780385544184,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case."
Combined Print and E-Book Fiction,2020-02-09,LITTLE FIRES EVERYWHERE,Celeste Ng,50,6,Penguin Press,0735224315,9780735224315,An artist upends a quiet town outside Cleveland.
Combined Print and E-Book Fiction,2020-02-09,DEAR EDWARD,Ann Napolitano,3,7,Dial,1984854798,9781984854797,A 12-year-old boy tries to start over after becoming the sole survivor of a plane crash in which he lost his immediate family.
Combined Print and E-Book Fiction,2020-02-09,SUCH A FUN AGE,Kiley Reid,4,8,Putnam,052554190X,9780525541905,Tumult ensues when Alix Chamberlain’s babysitter is mistakenly accused of kidnapping her charge.
Combined Print and E-Book Fiction,2020-02-09,AGENCY,William Gibson,1,9,Berkley,1101986956,9781101986950,"Ainsley Lowbeer can see alternate outcomes for Verity Jane and her digital assistant, who lived in the previous century."
Combined Print and E-Book Fiction,2020-02-09,THE OUTSIDER,Stephen King,15,10,Scribner,None,9781982148249,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.
Combined Print and E-Book Fiction,2020-02-09,THE DUTCH HOUSE,Ann Patchett,18,11,Harper,0062963694,9780062963697,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.
Combined Print and E-Book Fiction,2020-02-09,LONG BRIGHT RIVER,Liz Moore,3,12,Riverhead,None,9780525540694,Mickey risks her job with the Philadelphia police force by going after a murderer and searching for her missing sister.
Combined Print and E-Book Fiction,2020-02-09,THE GIVER OF STARS,Jojo Moyes,15,13,Pamela Dorman/Viking,0399562508,9780399562501,"In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books."
Combined Print and E-Book Fiction,2020-02-09,A LONG PETAL OF THE SEA,Isabel Allende,1,14,Ballantine,198482015X,9781984820150,A young pregnant widow and an Army doctor take a ship to Chile to escape the aftermath of the Spanish Civil War.
Combined Print and E-Book Fiction,2020-02-09,THE LAST WISH,Andrzej Sapkowski,5,15,Orbit,0316055085,9780316055086,"Linked stories follow the exploits of Geralt of Rivia, a monster-slaying mercenary."
Combined Print and E-Book Fiction,2020-02-16,AMERICAN DIRT,Jeanine Cummins,2,1,Flatiron,1250209765,9781250209764,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.
Combined Print and E-Book Fiction,2020-02-16,VENDETTA ROAD,Christine Feehan,1,2,Berkley,1984803573,9781984803573,"The third book in the Torpedo Ink series. After a breakup, Soleil meets a man in a Las Vegas biker bar."
Combined Print and E-Book Fiction,2020-02-16,WHEN YOU SEE ME,Lisa Gardner,1,3,Dutton,1524745014,9781524745011,D.D. Warren and Flora Dane join the F.B.I. agent Kimberly Quincy’s taskforce.
Combined Print and E-Book Fiction,2020-02-16,WHERE THE CRAWDADS SING,Delia Owens,73,4,Putnam,0735219095,9780735219090,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
Combined Print and E-Book Fiction,2020-02-16,A MINUTE TO MIDNIGHT,David Baldacci,8,5,Grand Central,None,9781538761625,"When Atlee Pine returns to her hometown to investigate her sister’s kidnapping from 30 years ago, she winds up tracking a potential serial killer."
Combined Print and E-Book Fiction,2020-02-16,THE SILENT PATIENT,Alex Michaelides,20,6,Celadon,1250301718,9781250301710,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
Combined Print and E-Book Fiction,2020-02-16,THE LAST WISH,Andrzej Sapkowski,6,7,Orbit,0316055085,9780316055086,"Linked stories follow the exploits of Geralt of Rivia, a monster-slaying mercenary."
Combined Print and E-Book Fiction,2020-02-16,LOST,James Patterson and James O Born,3,8,"Little, Brown",0316420328,9780316420327,The new head of an F.B.I. task force takes on a crime syndicate run by a pair of Russian nationals.
Combined Print and E-Book Fiction,2020-02-16,DEAR EDWARD,Ann Napolitano,4,9,Dial,1984854798,9781984854797,A 12-year-old boy tries to start over after becoming the sole survivor of a plane crash in which he lost his immediate family.
Combined Print and E-Book Fiction,2020-02-16,INSATIABLE,Helen Hardt,1,10,Waterhouse,,9781642631395,The 12th book in the Steel Brothers Saga.
Combined Print and E-Book Fiction,2020-02-16,HUNTING FOR A HIGHLANDER,Lynsay Sands,1,11,Avon,0062855387,9780062855381,The eighth book in the Highland Brides series. Geordie Buchanan and Lady Dwyn Innes have a chance encounter in an orchard.
Combined Print and E-Book Fiction,2020-02-16,THE DUTCH HOUSE,Ann Patchett,19,12,Harper,0062963694,9780062963697,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.
Combined Print and E-Book Fiction,2020-02-16,THE GUARDIANS,John Grisham,16,13,Doubleday,None,9780385544191,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case."
Combined Print and E-Book Fiction,2020-02-16,LITTLE FIRES EVERYWHERE,Celeste Ng,51,14,Penguin Press,0735224315,9780735224315,An artist upends a quiet town outside Cleveland.
Combined Print and E-Book Fiction,2020-02-16,SUCH A FUN AGE,Kiley Reid,5,15,Putnam,052554190X,9780525541905,Tumult ensues when Alix Chamberlain’s babysitter is mistakenly accused of kidnapping her charge.
Combined Print and E-Book Fiction,2020-02-23,GOLDEN IN DEATH,JD Robb,1,1,St. Martin's,None,9781250207210,The 50th book of the In Death series. Eve Dallas seeks the sender of packages that give off toxic airborne fumes.
Combined Print and E-Book Fiction,2020-02-23,CROOKED RIVER,Douglas Preston and Lincoln Child,1,2,Grand Central,None,9781538747261,The 19th book in the Agent Pendergast series. Human feet inside nondescript shoes wash ashore in Florida.
Combined Print and E-Book Fiction,2020-02-23,AMERICAN DIRT,Jeanine Cummins,3,3,Flatiron,1250209765,9781250209764,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.
Combined Print and E-Book Fiction,2020-02-23,WHERE THE CRAWDADS SING,Delia Owens,74,4,Putnam,0735219095,9780735219090,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
Combined Print and E-Book Fiction,2020-02-23,THE MUSEUM OF DESIRE,Jonathan Kellerman,1,5,Ballantine,None,9780525618539,The 35th book in the Alex Delaware series. Four unrelated victims are found slaughtered in a limousine.
Combined Print and E-Book Fiction,2020-02-23,THE LAST WISH,Andrzej Sapkowski,7,6,Orbit,0316055085,9780316055086,"Linked stories follow the exploits of Geralt of Rivia, a monster-slaying mercenary."
Combined Print and E-Book Fiction,2020-02-23,THE SILENT PATIENT,Alex Michaelides,21,7,Celadon,1250301718,9781250301710,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
Combined Print and E-Book Fiction,2020-02-23,THE DUTCH HOUSE,Ann Patchett,20,8,Harper,0062963694,9780062963697,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.
Combined Print and E-Book Fiction,2020-02-23,SUCH A FUN AGE,Kiley Reid,6,9,Putnam,052554190X,9780525541905,Tumult ensues when Alix Chamberlain’s babysitter is mistakenly accused of kidnapping her charge.
Combined Print and E-Book Fiction,2020-02-23,LITTLE FIRES EVERYWHERE,Celeste Ng,52,10,Penguin Press,0735224315,9780735224315,An artist upends a quiet town outside Cleveland.
Combined Print and E-Book Fiction,2020-02-23,THE GIVER OF STARS,Jojo Moyes,16,11,Pamela Dorman/Viking,0399562508,9780399562501,"In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books."
Combined Print and E-Book Fiction,2020-02-23,THE GUARDIANS,John Grisham,17,12,Doubleday,None,9780385544191,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case."
Combined Print and E-Book Fiction,2020-02-23,DEAR EDWARD,Ann Napolitano,5,13,Dial,1984854798,9781984854797,A 12-year-old boy tries to start over after becoming the sole survivor of a plane crash in which he lost his immediate family.
Combined Print and E-Book Fiction,2020-02-23,THE TATTOOIST OF AUSCHWITZ,Heather Morris,63,14,Harper,0062797158,9780062797155,A concentration camp detainee tasked with permanently marking fellow prisoners falls in love with one of them.
Combined Print and E-Book Fiction,2020-02-23,LOST,James Patterson and James O Born,4,15,"Little, Brown",0316420328,9780316420327,The new head of an F.B.I. task force takes on a crime syndicate run by a pair of Russian nationals.
Combined Print and E-Book Fiction,2020-03-01,AMERICAN DIRT,Jeanine Cummins,4,1,Flatiron,1250209765,9781250209764,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.
Combined Print and E-Book Fiction,2020-03-01,WHERE THE CRAWDADS SING,Delia Owens,75,2,Putnam,0735219095,9780735219090,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
Combined Print and E-Book Fiction,2020-03-01,GOLDEN IN DEATH,JD Robb,2,3,St. Martin's,1250207207,9781250207203,The 50th book of the In Death series. Eve Dallas seeks the sender of packages that give off toxic airborne fumes.
Combined Print and E-Book Fiction,2020-03-01,LITTLE FIRES EVERYWHERE,Celeste Ng,53,4,Penguin Press,0735224315,9780735224315,An artist upends a quiet town outside Cleveland.
Combined Print and E-Book Fiction,2020-03-01,THE SILENT PATIENT,Alex Michaelides,22,5,Celadon,1250301696,9781250301697,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
Combined Print and E-Book Fiction,2020-03-01,CROOKED RIVER,Douglas Preston and Lincoln Child,2,6,Grand Central,1538747251,9781538747254,The 19th book in the Agent Pendergast series. Human feet inside nondescript shoes wash ashore in Florida.
Combined Print and E-Book Fiction,2020-03-01,THE DUTCH HOUSE,Ann Patchett,21,7,Harper,0062963678,9780062963673,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.
Combined Print and E-Book Fiction,2020-03-01,THE GUARDIANS,John Grisham,18,8,Doubleday,0385544189,9780385544184,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case."
Combined Print and E-Book Fiction,2020-03-01,THE OUTSIDER,Stephen King,16,9,Scribner,None,9781982148249,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.
Combined Print and E-Book Fiction,2020-03-01,THE TATTOOIST OF AUSCHWITZ,Heather Morris,64,10,Harper,0062797158,9780062797155,A concentration camp detainee tasked with permanently marking fellow prisoners falls in love with one of them.
Combined Print and E-Book Fiction,2020-03-01,THE LAST WISH,Andrzej Sapkowski,8,11,Orbit,0316055085,9780316055086,"Linked stories follow the exploits of Geralt of Rivia, a monster-slaying mercenary."
Combined Print and E-Book Fiction,2020-03-01,THE GIVER OF STARS,Jojo Moyes,17,12,Pamela Dorman/Viking,0399562508,9780399562501,"In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books."
Combined Print and E-Book Fiction,2020-03-01,A LONG PETAL OF THE SEA,Isabel Allende,2,13,Ballantine,198482015X,9781984820150,A young pregnant widow and an Army doctor take a ship to Chile to escape the aftermath of the Spanish Civil War.
Combined Print and E-Book Fiction,2020-03-01,SUCH A FUN AGE,Kiley Reid,7,14,Putnam,052554190X,9780525541905,Tumult ensues when Alix Chamberlain’s babysitter is mistakenly accused of kidnapping her charge.
Combined Print and E-Book Fiction,2020-03-01,CRISS CROSS,James Patterson,7,15,"Little, Brown",0316457140,9780316457149,The 27th book in the Alex Cross series. Copycat crimes make the detective question whether an innocent man was executed.
Combined Print and E-Book Fiction,2020-03-08,ONE MINUTE OUT,Mark Greaney,1,1,Berkley,0593098927,9780593098929,The ninth book in the Gray Man series. Court Gentry tries to stop the head of a group trafficking women and children.
