List,List_Date,Title,Author,Weeks_On_List,Rank_This_Week,Publisher,Primary_ISBN_10,Primary_ISBN_13,Description,Average_Rating,Rating Count,Whole_Rating
Combined Print and E-Book Fiction,2020-09-27,WHERE THE CRAWDADS SING,Delia Owens,105,6,Putnam,0735219095,9780735219090,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",4.47,947988,4
Combined Print and E-Book Fiction,2020-09-13,LITTLE FIRES EVERYWHERE,Celeste Ng,81,15,Penguin Press,0735224315,9780735224315,An artist upends a quiet town outside Cleveland.,4.1,699769,4
Combined Print and E-Book Fiction,2020-05-03,THE TATTOOIST OF AUSCHWITZ,Heather Morris,70,9,Harper,0062797166,9780062797162,A concentration camp detainee tasked with permanently marking fellow prisoners falls in love with one of them.,4.26,455028,4
Combined Print and E-Book Fiction,2020-02-02,BEFORE WE WERE YOURS,Lisa Wingate,53,13,Ballantine,0425284700,9780425284704,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,4.37,369710,4
Combined Print and E-Book Fiction,2020-09-06,THE SILENT PATIENT,Alex Michaelides,36,14,Celadon,1250301696,9781250301697,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,4.09,488662,4
Combined Print and E-Book Fiction,2020-09-27,AMERICAN DIRT,Jeanine Cummins,34,15,Flatiron,1250209765,9781250209764,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.,4.3,163349,4
Combined Print and E-Book Fiction,2020-05-31,THE WOMAN IN THE WINDOW,AJ Finn,31,14,Morrow,0062905082,9780062905086,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,3.94,446079,4
Combined Print and E-Book Fiction,2020-05-10,THE DUTCH HOUSE,Ann Patchett,29,15,Harper,0062963694,9780062963697,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.,4.12,197950,4
Combined Print and E-Book Fiction,2020-09-06,THE GUARDIANS,John Grisham,26,13,Doubleday,052562094X,9780525620945,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case.",4.16,62102,4
Combined Print and E-Book Fiction,2020-05-17,THE GIVER OF STARS,Jojo Moyes,25,15,Pamela Dorman/Viking,0399562486,9780399562488,"In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books.",4.28,171860,4
Combined Print and E-Book Fiction,2020-03-15,THE OUTSIDER,Stephen King,18,14,Scribner,None,9781982148249,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,3.98,185719,4
Combined Print and E-Book Fiction,2020-01-12,THE INSTITUTE,Stephen King,16,3,Scribner,1982110562,9781982110567,Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.,4.2,122593,4
Combined Print and E-Book Fiction,2020-09-27,THE VANISHING HALF,Brit Bennett,15,5,Riverhead,0525536299,9780525536291,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,4.33,107348,4
Combined Print and E-Book Fiction,2020-09-27,THE GUEST LIST,Lucy Foley,15,9,Morrow,0062868950,9780062868954,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,3.88,108198,4
Combined Print and E-Book Fiction,2020-08-16,CAMINO WINDS,John Grisham,14,14,Doubleday,0385545932,9780385545938,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,3.83,30387,4
Combined Print and E-Book Fiction,2020-01-12,THE TESTAMENTS,Margaret Atwood,14,9,Nan A. Talese/Doubleday,0385543786,9780385543781,"In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay.",4.2,203573,4
Combined Print and E-Book Fiction,2020-05-31,BLUE MOON,Lee Child,13,11,Delacorte,039959356X,9780399593567,Jack Reacher gets caught up in a turf war between Ukrainian and Albanian gangs.,3.6,86794,4
Combined Print and E-Book Fiction,2020-09-20,28 SUMMERS,Elin Hilderbrand,12,15,"Little, Brown",None,9780316420051,A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.,4.31,45481,4
Combined Print and E-Book Fiction,2020-09-20,THEN SHE WAS GONE,Lisa Jewell,10,14,Atria,1501154656,9781501154652,"Ten years after her daughter disappears, a woman tries to get her life in order but remains haunted by unanswered questions.",4.03,202425,4
Combined Print and E-Book Fiction,2020-09-27,SUCH A FUN AGE,Kiley Reid,10,14,Putnam,0525541926,9780525541929,Tumult ensues when Alix Chamberlain’s babysitter is mistakenly accused of kidnapping her charge.,3.85,160233,4
Combined Print and E-Book Fiction,2020-06-21,NORMAL PEOPLE,Sally Rooney,10,14,Hogarth,1984822187,9781984822185,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,3.86,391274,4
Combined Print and E-Book Fiction,2020-07-05,IF IT BLEEDS,Stephen King,9,13,Scribner,1982137975,9781982137977,"Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”",4.11,30969,4
Combined Print and E-Book Fiction,2020-07-12,WALK THE WIRE,David Baldacci,9,6,Grand Central,1538761505,9781538761502,The sixth book in the Memory Man series. Decker and Jamison investigate a murder in a North Dakota town in a fracking boom.,4.18,24092,4
Combined Print and E-Book Fiction,2020-03-15,THE LAST WISH,Andrzej Sapkowski,9,7,Orbit,0316055085,9780316055086,"Linked stories follow the exploits of Geralt of Rivia, a monster-slaying mercenary.",4.13,186825,4
Combined Print and E-Book Fiction,2020-01-12,THE WATER DANCER,Ta-Nehisi Coates,9,14,One World,0399590595,9780399590597,A young man who was gifted with a mysterious power becomes part of a war between slavers and the enslaved.,4.08,61463,4
Combined Print and E-Book Fiction,2020-02-16,A MINUTE TO MIDNIGHT,David Baldacci,8,5,Grand Central,None,9781538761625,"When Atlee Pine returns to her hometown to investigate her sister’s kidnapping from 30 years ago, she winds up tracking a potential serial killer.",4.21,23021,4
Combined Print and E-Book Fiction,2020-01-05,"OLIVE, AGAIN",Elizabeth Strout,8,14,Random House,0812996542,9780812996548,"In a follow-up to the Pulitzer Prize-winning novel “Olive Kitteridge,” new relationships, including a second marriage, are encountered in a seaside town in Maine.",4.13,54977,4
Combined Print and E-Book Fiction,2020-03-01,CRISS CROSS,James Patterson,7,15,"Little, Brown",0316457140,9780316457149,The 27th book in the Alex Cross series. Copycat crimes make the detective question whether an innocent man was executed.,4.24,13190,4
Combined Print and E-Book Fiction,2020-07-19,THE NICKEL BOYS,Colson Whitehead,7,11,Doubleday,0345804341,9780345804341,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.,4.28,117310,4
Combined Print and E-Book Fiction,2020-01-12,THE NIGHT FIRE,Michael Connelly,7,5,"Little, Brown",None,9780316457484,Harry Bosch and Renée Ballard return to take up a case that held the attention of Bosch’s mentor.,4.29,33606,4
Combined Print and E-Book Fiction,2020-05-10,THE BOY FROM THE WOODS,Harlan Coben,6,13,Grand Central,1538748142,9781538748145,"When a girl goes missing, a private investigator’s feral childhood becomes an asset in the search.",4.01,33393,4
Combined Print and E-Book Fiction,2020-09-06,THE ORDER,Daniel Silva,6,11,Harper,0062834843,9780062834843,The 20th book in the Gabriel Allon series. The art restorer and spy cuts his family’s vacation short to investigate whether Pope Paul VII was murdered.,4.19,10281,4
Combined Print and E-Book Fiction,2020-08-02,THE SUMMER HOUSE,James Patterson and Brendan DuBois,6,15,"Little, Brown",0316539554,9780316539555,"Jeremiah Cook, a veteran and former N.Y.P.D. cop, investigates a mass murder near a lake in Georgia.",4.13,9931,4
Combined Print and E-Book Fiction,2020-01-05,THE OVERSTORY,Richard Powers,6,13,Norton,039335668X,9780393356687,Winner of the 2019 Pulitzer Prize for fiction. Nine people drawn to trees for different reasons fight for the last of the remaining acres of virgin forest.,4.14,69310,4
Combined Print and E-Book Fiction,2020-05-10,IN FIVE YEARS,Rebecca Serle,6,12,Atria,1982137460,9781982137465,A Manhattan lawyer finds herself confronting a vision she had when elements of it come to life on schedule.,3.87,77119,4
Combined Print and E-Book Fiction,2020-01-05,TWISTED TWENTY-SIX,Janet Evanovich,6,9,Putnam,0399180192,9780399180194,The 26th book in the Stephanie Plum series. A New Jersey gangster’s associates go after a bounty hunter’s widowed grandmother.,4.08,29261,4
Combined Print and E-Book Fiction,2020-06-28,BIG SUMMER,Jennifer Weiner,6,12,Atria,None,9781501133534,Daphne Berg’s former best friend asks her to be the maid of honor at her wedding in Cape Cod.,3.68,48169,4
Combined Print and E-Book Fiction,2020-06-21,ALL ADULTS HERE,Emma Straub,5,15,Riverhead,1594634696,9781594634697,A repressed memory triggers Astrid Strick to weigh the outcomes of her parenting of her now-grown children.,3.64,29959,4
Combined Print and E-Book Fiction,2020-07-12,HIDEAWAY,Nora Roberts,5,14,St. Martin's,125020710X,9781250207104,"A child star escapes her abductors, gathers herself in western Ireland and returns to Hollywood.",4.06,16299,4
Combined Print and E-Book Fiction,2020-08-16,GOLDEN IN DEATH,JD Robb,5,11,St. Martin's,1250207223,9781250207227,The 50th book of the In Death series. Eve Dallas seeks the sender of packages that give off toxic airborne fumes.,4.39,13717,4
Combined Print and E-Book Fiction,2020-09-06,NEAR DARK,Brad Thor,5,15,Emily Bestler/Atria,1982104066,9781982104061,"The 19th book in the Scot Harvath series. With a bounty on his head, Harvath makes an alliance with a Norwegian intelligence operative.",4.28,4147,4
Combined Print and E-Book Fiction,2020-07-12,FAIR WARNING,Michael Connelly,5,11,Little Brown,0316539422,9780316539425,The third book in the Jack McEvoy series. A reporter tracks a killer who uses genetic data to pick his victims.,4.23,16533,4
Combined Print and E-Book Fiction,2020-02-23,DEAR EDWARD,Ann Napolitano,5,13,Dial,1984854798,9781984854797,A 12-year-old boy tries to start over after becoming the sole survivor of a plane crash in which he lost his immediate family.,4.15,68497,4
Combined Print and E-Book Fiction,2020-04-05,BLINDSIDE,James Patterson and James O Born,4,11,"Little, Brown",0316420336,9780316420334,The 12th book in the Michael Bennett series. A serial-killing spree might impact national security.,4.09,7236,4
Combined Print and E-Book Fiction,2020-05-03,THE GLASS HOTEL,Emily St John Mandel,4,14,Knopf,0525521143,9780525521143,"Years after an international Ponzi scheme falls apart, one of its victims investigates the disappearance of a woman from a container ship.",3.74,46225,4
Combined Print and E-Book Fiction,2020-06-14,THE 20TH VICTIM,James Patterson and Maxine Paetro,4,14,Little Brown,031642028X,9780316420280,The 20th book in the Women’s Murder Club series. Lindsay Boxer looks into the murders of disreputable persons in three separate cities.,4.07,11072,4
Combined Print and E-Book Fiction,2020-08-09,SEX AND VANITY,Kevin Kwan,4,15,Doubleday,038554720X,9780385546270,A nod to “A Room With a View” in which Lucie Tang Churchill is torn between her WASPy billionaire fiancé and a privileged hunk born in Hong Kong.,3.43,17741,3
Combined Print and E-Book Fiction,2020-01-19,DAISY JONES & THE SIX,Taylor Jenkins Reid,4,8,Ballantine,1524798630,9781524798635,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.,4.2,264389,4
Combined Print and E-Book Fiction,2020-04-19,THE MIRROR & THE LIGHT,Hilary Mantel,4,13,Holt,0805096604,9780805096606,"The third book in the Wolf Hall trilogy. After Anne Boleyn’s execution, Thomas Cromwell’s enemies assemble.",4.46,15302,4
Combined Print and E-Book Fiction,2020-02-23,LOST,James Patterson and James O Born,4,15,"Little, Brown",0316420328,9780316420327,The new head of an F.B.I. task force takes on a crime syndicate run by a pair of Russian nationals.,3.97,6243,4
Combined Print and E-Book Fiction,2020-04-12,LONG RANGE,CJ Box,4,14,Putnam,0525538232,9780525538233,The 20th book in the Joe Pickett series. A grizzly bear attack and an attempted assassination of a local judge baffle the Wyoming game warden.,4.46,8674,4
Combined Print and E-Book Fiction,2020-09-06,1ST CASE,James Patterson and Chris Tebbetts,4,12,"Little, Brown",0316418188,9780316418188,"After getting kicked out of M.I.T., Angela Hoot interns with the F.B.I. and tracks the murderous siblings known as the Poet and the Engineer.",3.99,3889,4
Combined Print and E-Book Fiction,2020-09-27,SQUEEZE ME,Carl Hiaasen,3,10,Knopf,1524733458,9781524733452,"A dead dowager, hungry pythons and occupants of the winter White House shake up the Palm Beach charity ball season.",4.29,3854,4
Combined Print and E-Book Fiction,2020-02-09,LONG BRIGHT RIVER,Liz Moore,3,12,Riverhead,None,9780525540694,Mickey risks her job with the Philadelphia police force by going after a murderer and searching for her missing sister.,4.08,42681,4
Combined Print and E-Book Fiction,2020-05-24,THE BOOK OF LONGINGS,Sue Monk Kidd,3,15,Viking,052542976X,9780525429760,A scholarly young woman named Ana meets an 18-year-old Jesus and becomes caught up in a confluence of dangers.,4.28,32545,4
Combined Print and E-Book Fiction,2020-05-17,MASKED PREY,John Sandford,3,10,Putnam,0525539522,9780525539520,The 30th book in the Prey series. Washington politicians ask Lucas Davenport to look into someone who is targeting their children.,4.16,11707,4
Combined Print and E-Book Fiction,2020-03-08,A LONG PETAL OF THE SEA,Isabel Allende,3,15,Ballantine,198482015X,9781984820150,A young pregnant widow and an Army doctor take a ship to Chile to escape the aftermath of the Spanish Civil War.,4.08,30348,4
Combined Print and E-Book Fiction,2020-09-20,ROYAL,Danielle Steel,3,12,Delacorte,0399179658,9780399179655,"In 1943, the 17-year-old Princess Charlotte assumes a new identity in the country and falls in love.",4.22,2109,4
Combined Print and E-Book Fiction,2020-09-27,THICK AS THIEVES,Sandra Brown,3,12,Grand Central,1538751941,9781538751947,Arden Maxwell returns home to uncover the truth about her father’s involvement in a heist that went wrong 20 years ago.,4.14,4004,4
Combined Print and E-Book Fiction,2020-02-02,THE WIVES,Tarryn Fisher,3,15,Graydon House,1488054355,9781488054358,A woman discovers something disturbing about her polygamist husband.,3.66,81568,4
Combined Print and E-Book Fiction,2020-09-13,THE MIDWIFE MURDERS,James Patterson and Richard DiLallo,3,14,Grand Central,1538718871,9781538718872,A single mom teams up with an N.Y.P.D. detective to solve a case involving misdeeds at a university hospital.,3.72,2517,4
Combined Print and E-Book Fiction,2020-09-27,THE HARBINGER II,Jonathan Cahn,2,8,FrontLine,1629998915,9781629998916,"Nouriel, Ana Goren and a figure known as ""the prophet"" return as revelations are unlocked.",4.83,395,5
Combined Print and E-Book Fiction,2020-01-19,BLOOD OF ELVES,Andrzej Sapkowski,2,12,Orbit,0316073717,9780316073714,"The first book in the Witcher series. As war looms, Geralt of Rivia must protect the prophesied savior of the world.",4.11,102911,4
Combined Print and E-Book Fiction,2020-05-03,REDHEAD BY THE SIDE OF THE ROAD,Anne Tyler,2,15,Knopf,0525658424,9780525658429,Micah Mortimer’s orderly existence is thrown off kilter when his partner faces eviction and a teenager claims to be his son.,3.66,19272,4
Combined Print and E-Book Fiction,2020-07-12,TOM CLANCY: FIRING POINT,Mike Maden,2,15,Putnam,0593188063,9780593188064,"When an old friend is killed during the bombing of a Barcelona cafe, Jack Ryan Jr. searches for those responsible.",4.19,3344,4
Combined Print and E-Book Fiction,2020-03-15,CHASING CASSANDRA,Lisa Kleypas,2,15,Avon,0062371940,9780062371942,The sixth book in the Ravenels series. Cassandra teaches a railway magnate a lesson.,4.13,11605,4
Combined Print and E-Book Fiction,2020-03-01,CROOKED RIVER,Douglas Preston and Lincoln Child,2,6,Grand Central,1538747251,9781538747254,The 19th book in the Agent Pendergast series. Human feet inside nondescript shoes wash ashore in Florida.,4.3,9126,4
Combined Print and E-Book Fiction,2020-09-27,THE LYING LIFE OF ADULTS,Elena Ferrante,2,11,Europa Editions,1609455916,9781609455910,"In this coming-of-age story, Giovanna seeks her true reflection in two kindred cities.",3.81,8192,4
Combined Print and E-Book Fiction,2020-02-02,MORAL COMPASS,Danielle Steel,2,11,Delacorte,0399179534,9780399179532,"Shortly after Saint Ambrose Prep goes co-ed, a student is attacked and the community falls apart.",4.02,4429,4
