book_id,Primary_ISBN_10,Primary_ISBN_13,Author,original_publication_year,original_title,Title,Average_Rating,Rating Count,Whole_Rating
136251,545010225,9780545010220,"J.K. Rowling, Mary GrandPrÃ©",2007,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574,5
968,307277674,9780307277670,Dan Brown,2003,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",3.79,1447148,4
1,439785960,9780439785970,"J.K. Rowling, Mary GrandPrÃ©",2005,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823,5
7624,140283331,9780140283330,William Golding,1954,Lord of the Flies ,Lord of the Flies,3.64,1605019,4
18135,743477111,9780743477120,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,3.73,1628519,4
8442457,297859382,9780297859380,Gillian Flynn,2012,Gone Girl,Gone Girl,4.03,512475,4
4667024,399155341,9780399155340,Kathryn Stockett,2009,The Help,The Help,4.45,1531753,4
890,142000671,9780142000670,John Steinbeck,1937,Of Mice and Men ,Of Mice and Men,3.84,1467496,4
930,739326228,9780739326220,Arthur Golden,1997,Memoirs of a Geisha,Memoirs of a Geisha,4.08,1300209,4
10818853,1612130291,9781612130290,E.L. James,2011,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493,4
865,61122416,9780061122420,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,The Alchemist,3.82,1299566,4
3636,385732554,9780385732550,Lois Lowry,1993,The Giver,"The Giver (The Giver, #1)",4.12,1296825,4
100915,60764899,9780060764890,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800,4
14050,965818675,9780965818670,Audrey Niffenegger,2003,The Time Traveler's Wife,The Time Traveler's Wife,3.95,746287,4
13496,553588486,9780553588480,George R.R. Martin,1996,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204,4
19501,143038419,9780143038410,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",3.51,1181647,4
28187,786838655,9780786838650,Rick Riordan,2005,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265,4
1934,451529308,9780451529300,Louisa May Alcott,1868,Little Women,"Little Women (Little Women, #1)",4.04,1257121,4
10210,142437204,9780142437210,"Charlotte BrontÃ«, Michael Mason",1847,Jane Eyre,Jane Eyre,4.1,1198557,4
15931,553816713,9780553816720,Nicholas Sparks,1996,The Notebook,"The Notebook (The Notebook, #1)",4.06,1053403,4
43641,1565125606,9781565125600,Sara Gruen,2006,Water for Elephants,Water for Elephants,4.07,1068146,4
19063,375831002,9780375831000,Markus Zusak,2005,The Book Thief,The Book Thief,4.36,1159741,4
4381,307347974,9780307347980,Ray Bradbury,1953,Fahrenheit 451,Fahrenheit 451,3.97,570498,4
49041,316160199,9780316160190,Stephenie Meyer,2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",3.52,1149630,4
30119,60513039,9780060513030,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,4.29,1016888,4
256683,1416914285,9781416914280,Cassandra Clare,2007,City of Bones,"City of Bones (The Mortal Instruments, #1)",4.12,1154031,4
428263,316160202,9780316160210,Stephenie Meyer,2007,Eclipse,"Eclipse (Twilight, #3)",3.69,1134511,4
113436,375826696,9780375826700,Christopher Paolini,2002,Eragon,"Eragon (The Inheritance Cycle, #1)",3.86,1104021,4
11,345391802,9780345391800,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,936782,4
5129,60929871,9780060929880,Aldous Huxley,1932,Brave New World,Brave New World,3.97,1022601,4
1162543,031606792X,9780316067930,Stephenie Meyer,2008,Breaking Dawn,"Breaking Dawn (Twilight, #4)",3.7,1070245,4
37435,142001740,9780142001740,Sue Monk Kidd,2001,The Secret Life of Bees,The Secret Life of Bees,4.01,916189,4
2956,142437174,9780142437180,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,3.8,953758,4
24178,64410935,9780064410940,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,Charlotte's Web,4.15,1064521,4
1618,1400032717,9781400032720,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,3.85,867553,4
22557272,1594633665,9781594633670,Paula Hawkins,2015,The Girl on the Train,The Girl on the Train,3.88,1008778,4
119322,679879242,9780679879240,Philip Pullman,1995,Northern Lights,"The Golden Compass (His Dark Materials, #1)",3.94,953970,4
6185,393978893,9780393978900,"Emily BrontÃ«, Richard J. Dunn",1847,Wuthering Heights,Wuthering Heights,3.82,899195,4
10917,743454537,9780743454540,Jodi Picoult,2004,My Sister's Keeper,My Sister's Keeper,4.06,863879,4
4981,385333846,9780385333850,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,4.06,846488,4
18405,446675539,9780446675540,Margaret Mitchell,1936,Gone with the Wind,Gone with the Wind,4.28,873981,4
128029,1594489505,9781594489500,Khaled Hosseini,2007,A Thousand Splendid Suns,A Thousand Splendid Suns,4.34,818742,4
22628,671027344,9780671027350,Stephen Chbosky,1999,The Perks of Being a Wallflower,The Perks of Being a Wallflower,4.21,888806,4
11735983,7442912,9780007442910,Veronica Roth,2012,Insurgent,"Insurgent (Divergent, #2)",4.07,836362,4
375802,812550706,9780812550700,Orson Scott Card,1985,Ender's Game,"Ender's Game (Ender's Saga, #1)",4.3,813439,4
18490,141439475,9780141439470,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",Frankenstein,3.75,808589,4
11588,450040186,9780450040180,Stephen King,1977,The Shining,The Shining (The Shining #1),4.17,791850,4
1656001,316068047,9780316068050,Stephenie Meyer,2008,The Host,"The Host (The Host, #1)",3.84,749780,4
99561,142402516,9780142402510,John Green,2005,Looking for Alaska,Looking for Alaska,4.09,783470,4
14935,141439661,9780141439660,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,Sense and Sensibility,4.06,738894,4
38709,439244196,9780439244190,"Louis Sachar, Louis Sachar",1998,Holes,"Holes (Holes, #1)",3.93,747445,4
5139,307275558,9780307275550,Lauren Weisberger,2003,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,665930,4
1381,143039954,9780143039950,"Homer, Robert Fagles, E.V. Rieu, FrÃ©dÃ©ric Mugler, Bernard Knox",-720,á½ˆÎ´ÏÏƒÏƒÎµÎ¹Î±,The Odyssey,3.73,670326,4
157993,156012197,9780156012200,"Antoine de Saint-ExupÃ©ry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,The Little Prince,4.28,738757,4
7445,074324754X,9780743247540,Jeannette Walls,2005,The Glass Castle,The Glass Castle,4.24,621099,4
1845,385486804,9780385486800,Jon Krakauer,1996,Into the Wild,Into the Wild,3.94,647684,4
1953,141439602,9780141439600,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,A Tale of Two Cities,3.81,637412,4
7677,030734813X,9780307348140,Michael Crichton,1990,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",3.96,447833,4
370493,60256656,9780060256650,Shel Silverstein,1964,The Giving Tree,The Giving Tree,4.38,702332,4
32542,385338600,9780385338610,John Grisham,1989,A Time to Kill,A Time to Kill,4.03,597775,4
1617,374500010,9780374500020,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,Night (The Night Trilogy #1),4.3,691231,4
6442769,014241493X,9780142414930,John Green,2008,Paper Towns,Paper Towns,3.88,461311,4
21787,345418263,9780345418260,William Goldman,1973,The Princess Bride,The Princess Bride ,4.25,628637,4
231804,014038572X,9780140385720,S.E. Hinton,1967,The Outsiders,The Outsiders,4.06,659248,4
6186357,385737947,9780385737940,James Dashner,2009,The Maze Runner,"The Maze Runner (Maze Runner, #1)",4.02,719925,4
1202,61234001,9780061234000,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,524191,4
2998,517189607,9780517189600,Frances Hodgson Burnett,1911,The Secret Garden,The Secret Garden,4.12,639357,4
320,60531045,9780060531040,"Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa",1967,Cien aÃ±os de soledad,One Hundred Years of Solitude,4.04,490565,4
5297,375751513,9780375751520,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,The Picture of Dorian Gray,4.06,590014,4
13536860,345803507,9780345803500,E.L. James,2012,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)",3.88,387290,4
17245,393970124,9780393970130,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,Dracula,3.98,618973,4
5060378,307269981,9780307269980,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",4.22,563994,4
11857408,1612130585,9781612130580,E.L. James,2011,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",3.87,552059,4
7244,60786507,9780060786500,Barbara Kingsolver,1998,The Poisonwood Bible,The Poisonwood Bible,4.02,546502,4
4137,349113912,9780349113910,David Sedaris,2000,Me Talk Pretty One Day,Me Talk Pretty One Day,3.97,495736,4
19543,99408392,9780099408390,Maurice Sendak,1963,Where the Wild Things Are,Where the Wild Things Are,4.22,620618,4
7126,140449264,9780140449270,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,The Count of Monte Cristo,4.21,555822,4
6288,307265439,9780307265430,Cormac McCarthy,2006,The Road,The Road,3.95,504793,4
18710190,7524277,9780007524270,Veronica Roth,2013,Allegiant,"Allegiant (Divergent, #3)",3.63,463257,4
3473,446693804,9780446693810,Nicholas Sparks,1999,A Walk to Remember,A Walk to Remember,4.15,546948,4
9416,440241413,9780440241420,Sophie Kinsella,2000,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,543658,4
24280,451525264,9780451525260,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les MisÃ©rables,Les MisÃ©rables,4.14,513407,4
10572,553381695,9780553381700,George R.R. Martin,1998,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,523303,4
10441,143037145,9780143037150,Kim Edwards,2005,The Memory Keeper's Daughter,The Memory Keeper's Daughter,3.64,501430,4
15507958,670026603,9780670026610,Jojo Moyes,2012,Me Before You,"Me Before You (Me Before You, #1)",4.27,587647,4
168668,684833395,9780684833390,Joseph Heller,1961,Catch-22,Catch-22,3.98,563265,4
6900,751529818,9780751529810,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,Tuesdays with Morrie,4.06,556518,4
2187,312422156,9780312422160,Jeffrey Eugenides,2002,Middlesex,Middlesex,3.98,488243,4
24583,143039563,9780143039560,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,3.89,555359,4
18131,440498058,9780440498060,Madeleine L'Engle,1962,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,615907,4
7763,143038095,9780143038090,Amy Tan,1989,The Joy Luck Club,The Joy Luck Club,3.9,515090,4
38447,038549081X,9780385490820,Margaret Atwood,1985,The Handmaid's Tale,The Handmaid's Tale,4.06,607889,4
452306,385729332,9780385729340,Ann Brashares,2001,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,525706,4
37442,60987103,9780060987110,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,506900,4
5358,582418275,9780582418270,John Grisham,1991,The Firm,"The Firm (Penguin Readers, Level 5)",3.99,488269,4
7937843,316098337,9780316098340,Emma Donoghue,2010,Room,Room,4.03,511360,4
1420,521618746,9780521618750,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,4.0,515820,4
234225,340839937,9780340839940,Frank Herbert,1965,Dune,Dune (Dune Chronicles #1),4.19,485032,4
2612,316346624,9780316346630,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,4
11084145,1451648537,9781451648540,Walter Isaacson,2011,Steve Jobs,Steve Jobs,4.09,560715,4
332613,451163966,9780451163970,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,4.18,491642,4
2165,684830493,9780684830490,Ernest Hemingway,1952,The Old Man and the Sea,The Old Man and the Sea,3.73,520630,4
4395,142000663,9780142000660,John Steinbeck,1939,The Grapes of Wrath,The Grapes of Wrath,3.92,322321,4
8127,451528824,9780451528830,L.M. Montgomery,1908,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,502247,4
3777732,1416914307,9781416914300,Cassandra Clare,2009,City of Glass,"City of Glass (The Mortal Instruments, #3)",4.34,593173,4
62291,055357342X,9780553573430,George R.R. Martin,2000,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,469022,5
137791,006075995X,9780060759960,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676,4
10964,440242940,9780440242950,Diana Gabaldon,1991,Outlander,"Outlander (Outlander, #1)",4.2,515547,4
12296,142437263,9780142437260,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,The Scarlet Letter,3.37,509883,3
9460487,1594744769,9781594744760,Ransom Riggs,2011,Miss Peregrineâ€™s Home for Peculiar Children,"Miss Peregrineâ€™s Home for Peculiar Children (Miss Peregrineâ€™s Peculiar Children, #1)",3.89,613674,4
6892870,030726999X,9780307270000,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprÃ¤ngdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,443951,4
18007564,804139024,9780804139020,Andy Weir,2012,The Martian,The Martian,4.39,423344,4
5043,451207149,9780451207140,Ken Follett,1989,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,462517,4
8664353,1400064163,9781400064170,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775,4
976,671027387,9780671027380,Dan Brown,2001,Deception Point,Deception Point,3.67,455610,4
17333223,316055433,9780316055440,Donna Tartt,2013,The Goldfinch,The Goldfinch,3.87,396756,4
1217100,1595141715,9781595141710,Jay Asher,2007,Thirteen Reasons Why,Thirteen Reasons Why,4.02,463783,4
2865,452287022,9780452287020,Tracy Chevalier,1999,Girl with a Pearl Earring,Girl with a Pearl Earring,3.85,467577,4
4374400,525421033,9780525421030,Gayle Forman,2009,If I Stay,"If I Stay (If I Stay, #1)",3.96,503527,4
4989,312353766,9780312353770,Anita Diamant,1997,The Red Tent,The Red Tent,4.16,424981,4
28186,786856866,9780786856860,Rick Riordan,2006,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,514932,4
5526,446528056,9780446528050,Nicholas Sparks,2006,Dear John,Dear John,4.01,441062,4
1582996,1416914293,9781416914300,Cassandra Clare,2008,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",4.21,541117,4
8852,743477103,9780743477110,William Shakespeare,1606,The Tragedy of Macbeth,Macbeth,3.88,496018,4
15241,618346260,9780618346260,J.R.R. Tolkien,1954,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",4.42,480446,4
42156,031232118X,9780312321180,Emily Giffin,2004,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",3.83,403601,4
23772,394800168,9780394800160,"Dr. Seuss, ×œ××” × ××•×¨",1960,Green Eggs and Ham,Green Eggs and Ham,4.29,457475,4
6310,142403881,9780142403880,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,453959,4
2120932,1423101464,9781423101470,Rick Riordan,2008,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,508214,4
2623,192833596,9780192833590,Charles Dickens,1860,Great Expectations,Great Expectations,3.75,459247,4
18512,345339738,9780345339740,J.R.R. Tolkien,1955,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",4.51,463959,5
7736182,142311339X,9781423113390,Rick Riordan,2010,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",4.35,271576,4
15745753,1250012570,9781250012580,Rainbow Rowell,2013,Eleanor & Park,Eleanor & Park,4.11,514312,4
13497,055358202X,9780553582020,George R.R. Martin,2005,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1,428186,4
7735333,525423648,9780525423640,Ally Condie,2010,Matched,"Matched (Matched, #1)",3.68,511815,4
4407,747263744,9780747263750,Neil Gaiman,2001,American Gods,"American Gods (American Gods, #1)",4.11,378019,4
149267,385199570,9780385199580,"Stephen King, Bernie Wrightson",1978,The Stand,The Stand,4.34,438832,4
6400090,446547565,9780446547570,Nicholas Sparks,2008,The Last Song,The Last Song,4.14,424637,4
11125,552151696,9780552151700,Dan Brown,1998,Digital Fortress,Digital Fortress,3.6,423019,4
6969,141439580,9780141439590,"Jane Austen, Fiona Stafford",1815,Emma,Emma,3.99,459826,4
15823480,345803922,9780345803920,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,ÐÐ½Ð½Ð° ÐšÐ°Ñ€ÐµÐ½Ð¸Ð½Ð°,Anna Karenina,4.02,297472,4
227463,393312836,9780393312840,Anthony Burgess,1962,A Clockwork Orange,A Clockwork Orange,3.98,431195,4
1812457,964729237,9780964729230,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,The Shack,3.74,419539,4
4502507,739380338,9780739380340,Rick Riordan,2009,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5,397500,4
18342,451169514,9780451169520,Stephen King,1986,It,It,4.18,292592,4
7144,143058142,9780143058140,"Fyodor Dostoyevsky, David McDuff",1866,ÐŸÑ€ÐµÑÑ‚ÑƒÐ¿Ð»ÐµÐ½Ð¸Ðµ Ð¸ Ð½Ð°ÐºÐ°Ð·Ð°Ð½Ð¸Ðµ,Crime and Punishment,4.18,380903,4
6514,61148512,9780061148510,Sylvia Plath,1963,The Bell Jar,The Bell Jar,3.98,401605,4
252577,7205236,9780007205230,Frank McCourt,1996,Angela's Ashes: A Memoir,"Angela's Ashes (Frank McCourt, #1)",4.07,392103,4
52036,553208845,9780553208850,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,Siddhartha,3.99,372099,4
168642,679745580,9780679745590,Truman Capote,1965,In Cold Blood,In Cold Blood,4.05,381652,4
6304335,316042676,9780316042670,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,"Beautiful Creatures (Caster Chronicles, #1)",3.76,436093,4
7171637,1416975861,9781416975860,Cassandra Clare,2010,Clockwork Angel,"Clockwork Angel (The Infernal Devices, #1)",4.33,490890,4
39988,141301066,9780141301070,"Roald Dahl, Quentin Blake",1988,Matilda,Matilda,4.29,440743,4
9361589,385534639,9780385534640,Erin Morgenstern,2011,The Night Circus,The Night Circus,4.03,429543,4
37470,743227441,9780743227440,Philippa Gregory,2001,The Other Boleyn Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04,381080,4
24770,689865384,9780689865380,Scott Westerfeld,2005,Uglies,"Uglies (Uglies, #1)",3.86,449073,4
33,618640150,9780618640160,J.R.R. Tolkien,1955,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47,389054,4
12262741,307592731,9780307592740,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail ,Wild: From Lost to Found on the Pacific Crest Trail,3.96,379872,4
472331,930289234,9780930289230,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,Watchmen,4.35,398018,4
186074,075640407X,9780756404080,Patrick Rothfuss,2007,The Name of the Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55,400101,5
3228917,316017922,9780316017920,Malcolm Gladwell,2008,Outliers: The Story of Success,Outliers: The Story of Success,4.11,353011,4
153747,142437247,9780142437250,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby Dick; or, The Whale","Moby-Dick or, The Whale",3.46,358050,3
2728527,385340990,9780385340990,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,4.12,393626,4
5759,393327345,9780393327340,Chuck Palahniuk,1996,Fight Club,Fight Club,4.2,365349,4
301082,441008534,9780441008540,Charlaine Harris,2001,Dead Until Dark,"Dead Until Dark (Sookie Stackhouse, #1)",3.96,420764,4
11486,671727796,9780671727800,Alice Walker,1982,The Color Purple,The Color Purple,4.17,376766,4
12691,739461192,9780739461200,John Grogan,2005,Marley & Me: Life and Love with the World's Worst Dog,Marley and Me: Life and Love With the World's Worst Dog,4.12,367304,4
16299,312330871,9780312330870,Agatha Christie,1939,Ten Little Niggers,And Then There Were None,4.23,408983,4
6411961,385504225,9780385504220,Dan Brown,2009,The Lost Symbol,"The Lost Symbol (Robert Langdon, #3)",3.66,369428,4
6339664,1416989412,9781416989420,Becca Fitzpatrick,2009,"Hush, Hush","Hush, Hush (Hush, Hush, #1)",4.0,448166,4
43763,345476875,9780345476880,Anne Rice,1976,Interview with the Vampire,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97,372566,4
10507293,62059939,9780062059930,Kiera Cass,2012,The Selection,"The Selection (The Selection, #1)",4.15,505340,4
6853,312362080,9780312362090,Janet Evanovich,1994,One for the Money,"One for the Money (Stephanie Plum, #1)",4.03,391007,4
6493208,1400052173,9781400052170,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,The Immortal Life of Henrietta Lacks,4.04,377249,4
23807,99446782,9780099446780,Thomas Harris,1988,The Silence of the Lambs,"The Silence of the Lambs  (Hannibal Lecter, #2)",4.14,351107,4
40102,316010669,9780316010660,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,Blink: The Power of Thinking Without Thinking,3.89,348196,4
6867,038572179X,9780385721790,Ian McEwan,2001,Atonement,Atonement,3.88,347006,4
485894,553213695,9780553213690,"Franz Kafka, Stanley Corngold",1915,Die Verwandlung,The Metamorphosis,3.78,364933,4
561456,141382899,9780141382890,Rick Riordan,2007,The Titan's Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33,446668,4
3153910,1554681723,9781554681720,Garth Stein,2006,The Art of Racing in the Rain,The Art of Racing in the Rain,4.19,327409,4
21996,739303406,9780739303400,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98,309385,4
13572249,425263908,9780425263910,Sylvia Day,2012,Bared to You,"Bared to You (Crossfire, #1)",4.19,222678,4
11127,66238501,9780066238500,"C.S. Lewis, Pauline Baynes",1956,The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.24,376385,4
60748,1558743669,9781558743660,Dave Pelzer,1995,"A Child Called ""It"": One Child's Courage to Survive","A Child Called ""It"" (Dave Pelzer #1)",4.08,311543,4
7869,752864327,9780752864330,Robert Ludlum,1980,The Bourne Identity,"The Bourne Identity (Jason Bourne, #1)",3.98,327122,4
249747,786817879,9780786817870,Eoin Colfer,2001,Artemis Fowl,"Artemis Fowl (Artemis Fowl, #1)",3.82,386923,4
